Temperature (°C),pH,Dissolved O2 (mg/L),BOD (mg/L),Conductivity (µS/cm),Salinity (ppt),Nitrate-N Concentration (mg/L),Bioremediating Organism
21.46,7.79,10.06,12.33,366.64,0.39,12.14,Alcaligenes eutrophus
24.41,6.94,9.14,7.58,713.85,0.21,38.63,Acinetobacter baumannii
20.67,7.4,8.93,4.39,421.83,2.86,14.4,Bacillus cereus
20.88,7.03,13.8,7.13,854.29,1.41,19.63,Acinetobacter baumannii
20.59,7.06,8.39,5.52,543.47,1.27,24.5,Acinetobacter baumannii
23.48,6.21,10.21,2.29,193.06,3.57,12.12,Pseudomonas putida
22.91,7.51,9.86,8.58,349.84,2.34,21.38,Bacillus cereus
28.73,8.7,6.99,13.72,416.83,1.33,18.5,Pseudomonas aeruginosa
26.27,8.85,10.92,14.25,655.8,0.87,11.73,Alcaligenes eutrophus
24.4,6.77,9.72,5.61,566.89,1.29,28.32,Acinetobacter baumannii
24.64,7.15,12.12,3.13,582.46,0.27,24.84,Acinetobacter baumannii
22.44,6.19,11.3,3.18,388.32,3.88,13.69,Pseudomonas putida
20.58,6.85,10.08,4.26,259.29,3.99,14.71,Pseudomonas putida
25.57,7.86,9.85,10.46,518.69,0.17,14.66,Alcaligenes eutrophus
26.78,8.38,9.83,7.78,400.57,0.48,0.45,Alcaligenes eutrophus
23.6,7.38,10.14,3.24,151.97,2.53,14.03,Bacillus cereus
24.74,7.42,8.62,4.05,873.91,1.88,25.9,Acinetobacter baumannii
21.71,7.72,9.94,9.27,234.3,0.24,7.96,Alcaligenes eutrophus
26.83,8.45,9.68,12.96,623.08,1.36,21.28,Pseudomonas aeruginosa
24.08,7.48,9.85,6.44,160.61,2.8,7.47,Bacillus cereus
27.97,8.51,6.38,14.23,715.63,1.28,27.81,Pseudomonas aeruginosa
22.34,6.87,7.13,3.61,280.77,2.82,8.11,Bacillus cereus
26.03,6.67,8.75,3.85,572.75,1.37,22.26,Acinetobacter baumannii
23.46,7.65,10.49,3.38,480.97,2.12,12.95,Bacillus cereus
23.49,6.83,11.4,7.63,228.76,4.5,14.26,Ideonella sakaiensis
26.53,7.23,5.32,7.11,590.71,1.64,25.31,Pseudomonas aeruginosa
23.78,7.01,10.08,7.09,852.39,0.91,25.54,Acinetobacter baumannii
29.41,7.15,5.34,10.63,352.88,0.96,11.25,Alcaligenes eutrophus
20.02,6.91,10.66,3.05,400.75,1.56,25.66,Acinetobacter baumannii
27.09,7.21,13.44,5.73,441.0,4.53,13.0,Ideonella sakaiensis
20.47,7.24,13.33,7.45,471.71,1.9,36.83,Acinetobacter baumannii
23.53,8.92,11.14,1.08,445.73,0.27,7.6,Alcaligenes eutrophus
24.92,7.47,11.18,1.88,283.33,3.6,13.83,Pseudomonas putida
26.4,8.67,5.5,3.09,550.61,0.94,4.08,Alcaligenes eutrophus
26.72,7.19,12.07,8.49,492.05,4.24,1.11,Ideonella sakaiensis
22.23,6.84,11.8,9.62,547.42,4.44,18.07,Ideonella sakaiensis
25.29,7.38,9.74,3.56,893.54,1.22,29.3,Acinetobacter baumannii
22.77,6.28,9.63,1.6,208.7,3.8,13.66,Pseudomonas putida
25.2,7.44,7.82,5.94,595.71,0.11,9.88,Alcaligenes eutrophus
22.84,7.12,10.78,3.19,274.9,3.87,13.78,Pseudomonas putida
25.13,8.32,6.45,6.01,446.32,0.27,13.74,Pseudomonas aeruginosa
28.46,7.32,12.89,3.58,589.14,4.03,3.02,Ideonella sakaiensis
29.79,7.32,9.76,13.79,440.3,1.39,28.93,Pseudomonas aeruginosa
24.09,7.08,8.47,6.27,693.47,0.8,3.9,Alcaligenes eutrophus
20.15,7.98,6.73,7.09,444.72,2.95,10.7,Bacillus cereus
23.44,7.09,7.65,3.0,307.63,3.93,13.37,Pseudomonas putida
26.53,6.93,13.09,7.99,667.83,0.17,36.96,Acinetobacter baumannii
23.69,7.28,9.28,1.4,640.92,0.28,9.72,Alcaligenes eutrophus
27.56,7.3,12.11,4.59,414.43,4.6,1.95,Ideonella sakaiensis
27.7,6.92,13.42,9.86,306.21,4.27,13.88,Ideonella sakaiensis
22.93,6.97,11.21,4.31,328.27,3.58,13.42,Pseudomonas putida
26.71,7.81,8.52,7.89,533.21,0.03,22.54,Pseudomonas aeruginosa
20.02,6.09,11.78,2.76,182.79,3.84,14.59,Pseudomonas putida
24.99,7.3,10.54,3.91,155.33,3.95,13.42,Pseudomonas putida
29.17,7.85,5.25,6.59,426.71,1.87,11.51,Pseudomonas aeruginosa
26.21,7.26,12.18,6.36,502.97,1.01,22.03,Acinetobacter baumannii
21.93,6.79,9.15,5.38,428.27,2.38,8.18,Bacillus cereus
27.16,8.52,8.28,4.25,386.82,0.25,28.57,Pseudomonas aeruginosa
28.59,7.18,12.27,9.02,275.3,4.87,3.58,Ideonella sakaiensis
24.74,7.21,11.33,2.23,425.85,4.8,7.89,Ideonella sakaiensis
29.11,7.45,5.87,5.64,749.23,0.99,12.03,Pseudomonas aeruginosa
21.37,7.92,7.69,9.93,580.43,0.5,7.04,Alcaligenes eutrophus
27.61,7.14,5.87,10.83,787.57,1.7,18.84,Pseudomonas aeruginosa
21.52,7.57,9.23,11.2,614.53,0.85,10.81,Alcaligenes eutrophus
21.89,7.26,11.73,2.52,252.94,3.93,14.31,Pseudomonas putida
27.26,8.85,8.55,5.29,680.39,1.0,21.42,Pseudomonas aeruginosa
21.75,6.17,9.16,2.65,127.27,3.82,12.36,Pseudomonas putida
28.08,8.71,8.61,7.01,528.21,0.94,20.59,Pseudomonas aeruginosa
21.78,7.11,11.9,6.78,178.83,0.33,6.41,Alcaligenes eutrophus
22.28,6.81,9.26,8.45,503.47,4.25,12.17,Ideonella sakaiensis
23.35,6.87,8.22,4.91,978.05,2.26,34.93,Acinetobacter baumannii
20.77,7.47,7.22,5.33,367.66,2.39,9.81,Bacillus cereus
23.98,7.33,13.32,2.98,834.68,0.89,39.18,Acinetobacter baumannii
24.06,7.43,10.6,2.49,814.26,0.89,37.2,Acinetobacter baumannii
25.16,7.36,10.47,2.72,282.86,4.31,1.86,Ideonella sakaiensis
26.5,7.04,10.91,5.27,768.07,1.74,29.63,Acinetobacter baumannii
27.07,7.99,5.84,8.61,581.31,0.84,15.72,Pseudomonas aeruginosa
21.78,7.99,9.44,9.85,472.05,2.68,11.1,Bacillus cereus
26.49,8.01,9.27,12.49,370.23,0.82,23.8,Pseudomonas aeruginosa
24.5,7.68,9.95,3.27,225.96,2.3,14.22,Bacillus cereus
22.69,6.57,6.32,4.08,338.37,2.68,12.0,Bacillus cereus
29.37,7.35,10.27,5.51,593.59,4.9,17.25,Ideonella sakaiensis
20.06,6.99,10.73,7.4,592.17,1.47,36.85,Acinetobacter baumannii
28.01,6.63,10.62,9.88,382.66,4.99,13.24,Ideonella sakaiensis
21.37,6.54,13.15,5.33,942.9,0.36,33.78,Acinetobacter baumannii
24.68,6.76,13.99,5.85,515.52,2.34,35.66,Acinetobacter baumannii
25.01,7.35,9.61,8.64,711.69,0.41,29.59,Pseudomonas aeruginosa
22.59,8.69,8.86,11.43,568.29,0.28,14.51,Alcaligenes eutrophus
21.99,6.63,10.69,7.7,819.67,1.74,28.62,Acinetobacter baumannii
21.33,7.31,11.52,4.12,575.76,4.48,19.51,Ideonella sakaiensis
26.88,6.9,11.66,4.19,573.73,4.61,13.27,Ideonella sakaiensis
21.19,8.36,5.94,13.2,649.11,0.68,14.96,Alcaligenes eutrophus
27.33,8.23,5.3,12.57,422.24,0.82,16.31,Pseudomonas aeruginosa
20.65,6.78,8.8,7.85,902.51,0.78,26.2,Acinetobacter baumannii
28.14,7.06,6.7,9.67,319.28,1.02,19.97,Pseudomonas aeruginosa
27.63,7.22,13.27,3.38,835.32,0.09,31.53,Acinetobacter baumannii
21.69,7.46,9.56,3.72,350.99,3.78,13.78,Pseudomonas putida
25.34,7.9,5.22,13.48,324.1,0.28,27.72,Pseudomonas aeruginosa
27.61,6.63,11.26,5.72,805.78,0.52,27.76,Acinetobacter baumannii
26.43,7.32,10.89,5.56,544.45,4.85,5.04,Ideonella sakaiensis
22.57,6.87,6.22,6.2,369.95,2.23,16.14,Bacillus cereus
26.24,8.43,10.88,10.72,339.55,0.45,11.68,Alcaligenes eutrophus
20.88,7.25,10.97,7.98,208.79,4.02,5.69,Ideonella sakaiensis
21.17,7.89,8.27,5.78,670.93,0.86,3.82,Alcaligenes eutrophus
29.46,8.79,11.06,5.83,644.95,0.89,9.14,Alcaligenes eutrophus
22.27,7.19,6.5,8.13,161.95,2.68,18.19,Bacillus cereus
22.24,6.93,10.59,1.31,122.9,3.94,14.31,Pseudomonas putida
20.07,7.23,9.55,2.98,575.2,4.53,9.73,Ideonella sakaiensis
22.28,6.87,8.17,6.62,606.62,1.97,33.35,Acinetobacter baumannii
26.79,7.06,8.56,9.4,799.44,0.95,27.83,Pseudomonas aeruginosa
25.98,7.34,7.86,10.8,511.08,1.19,24.93,Pseudomonas aeruginosa
24.26,6.56,8.64,6.18,320.1,2.3,11.23,Bacillus cereus
21.32,7.75,7.98,12.0,324.99,0.84,14.92,Alcaligenes eutrophus
23.9,7.75,7.44,3.8,432.7,2.5,11.65,Bacillus cereus
23.51,7.65,8.29,7.47,152.93,0.63,5.39,Alcaligenes eutrophus
23.81,8.78,8.17,13.11,276.45,0.91,12.42,Alcaligenes eutrophus
28.61,7.79,8.01,13.65,435.81,1.44,29.83,Pseudomonas aeruginosa
22.15,7.66,7.38,4.45,274.38,2.42,6.26,Bacillus cereus
23.22,7.0,9.82,4.21,324.81,2.38,23.25,Bacillus cereus
24.38,6.81,11.49,4.65,583.42,4.55,15.06,Ideonella sakaiensis
26.26,8.27,7.71,10.76,379.2,1.89,15.57,Pseudomonas aeruginosa
25.67,7.1,9.97,9.92,343.3,0.51,6.49,Alcaligenes eutrophus
29.47,8.24,9.48,6.59,469.3,1.31,19.2,Pseudomonas aeruginosa
26.5,7.2,5.61,4.85,222.74,0.85,9.23,Alcaligenes eutrophus
22.69,6.88,7.86,9.54,237.96,2.34,11.33,Bacillus cereus
25.86,7.8,7.86,14.53,337.47,0.04,12.03,Alcaligenes eutrophus
24.22,7.71,6.82,5.4,482.19,2.05,19.13,Bacillus cereus
22.58,7.42,9.29,7.16,673.26,0.57,7.19,Alcaligenes eutrophus
27.23,7.38,9.93,7.36,245.17,0.15,5.88,Alcaligenes eutrophus
22.79,6.65,10.13,1.81,135.67,3.67,12.36,Pseudomonas putida
20.59,6.51,8.18,2.12,387.48,3.7,14.81,Pseudomonas putida
27.28,8.15,5.75,5.44,301.55,1.2,15.62,Pseudomonas aeruginosa
25.46,8.49,8.47,11.19,399.68,0.23,24.33,Pseudomonas aeruginosa
24.58,6.15,10.02,1.35,158.05,3.53,14.2,Pseudomonas putida
24.4,7.06,7.73,1.06,352.77,3.66,12.53,Pseudomonas putida
27.68,6.71,8.49,4.15,414.56,0.44,26.2,Acinetobacter baumannii
24.6,7.57,9.71,3.87,350.75,2.21,7.64,Bacillus cereus
25.39,8.14,5.3,11.76,440.24,0.1,22.29,Pseudomonas aeruginosa
25.84,6.94,12.21,7.49,557.08,4.94,19.99,Ideonella sakaiensis
22.73,7.24,10.25,9.26,198.68,2.14,14.96,Bacillus cereus
26.94,6.95,13.61,3.16,479.54,0.43,29.62,Acinetobacter baumannii
21.19,6.05,9.17,2.9,255.6,3.95,12.9,Pseudomonas putida
22.38,6.89,9.44,5.27,263.83,3.0,18.44,Bacillus cereus
23.67,7.44,7.81,4.63,160.35,2.63,9.1,Bacillus cereus
23.45,7.2,11.3,2.53,935.08,1.33,16.72,Acinetobacter baumannii
20.08,6.52,10.23,4.78,277.67,3.72,14.65,Pseudomonas putida
23.09,7.06,8.92,3.05,822.29,1.12,18.88,Acinetobacter baumannii
21.41,6.76,8.81,7.67,490.99,2.49,8.72,Bacillus cereus
20.3,7.48,10.06,6.79,300.54,2.64,14.5,Bacillus cereus
20.24,6.87,10.81,2.78,238.83,4.03,3.64,Ideonella sakaiensis
26.25,7.26,6.37,12.47,360.83,0.57,25.11,Pseudomonas aeruginosa
29.88,7.57,7.93,13.48,520.31,0.36,20.48,Pseudomonas aeruginosa
23.21,7.24,7.74,2.97,151.24,3.87,14.24,Pseudomonas putida
24.69,7.59,7.35,3.08,115.44,0.01,3.16,Alcaligenes eutrophus
23.04,7.89,9.86,5.41,368.1,2.16,21.49,Bacillus cereus
23.8,6.51,7.17,3.97,322.09,3.74,12.03,Pseudomonas putida
24.89,7.47,7.65,1.73,300.43,3.99,12.92,Pseudomonas putida
20.92,6.85,10.94,2.23,160.81,3.51,13.37,Pseudomonas putida
27.51,8.86,11.72,7.59,617.44,0.33,9.45,Alcaligenes eutrophus
20.72,6.66,10.15,4.57,473.77,2.17,7.72,Bacillus cereus
20.9,6.82,12.0,3.05,571.87,1.29,34.54,Acinetobacter baumannii
26.62,7.86,7.55,12.25,439.35,0.98,11.67,Alcaligenes eutrophus
22.46,7.02,9.58,5.65,399.53,2.14,18.49,Bacillus cereus
22.87,7.42,11.35,3.89,313.55,3.75,13.6,Pseudomonas putida
28.62,8.42,7.46,9.59,333.27,0.82,16.76,Pseudomonas aeruginosa
21.28,7.0,11.25,1.24,224.45,3.5,12.52,Pseudomonas putida
26.97,8.32,8.57,9.87,778.22,1.79,26.43,Pseudomonas aeruginosa
22.17,6.65,12.67,2.11,292.72,4.47,2.48,Ideonella sakaiensis
22.06,6.47,11.99,4.18,289.62,3.57,14.35,Pseudomonas putida
28.63,7.39,8.08,5.68,758.18,1.87,22.2,Pseudomonas aeruginosa
21.37,7.27,7.28,8.32,336.99,2.57,15.88,Bacillus cereus
26.04,6.57,11.63,3.4,840.78,0.69,19.66,Acinetobacter baumannii
23.37,6.52,9.78,3.72,918.62,0.76,37.89,Acinetobacter baumannii
24.8,6.33,10.08,4.73,316.61,3.99,14.07,Pseudomonas putida
22.95,6.95,8.74,7.58,474.48,2.49,20.96,Bacillus cereus
25.57,8.89,6.82,10.54,721.68,1.98,27.94,Pseudomonas aeruginosa
24.03,7.28,11.78,4.32,881.99,0.22,18.27,Acinetobacter baumannii
21.29,6.81,9.86,6.5,304.58,4.52,10.84,Ideonella sakaiensis
22.52,7.15,10.84,2.1,983.49,2.36,26.83,Acinetobacter baumannii
24.91,7.36,10.24,6.43,527.05,2.3,20.75,Acinetobacter baumannii
26.58,7.1,10.37,7.26,866.1,1.17,21.93,Acinetobacter baumannii
25.48,7.04,8.6,6.53,590.64,4.43,10.98,Ideonella sakaiensis
27.32,7.42,9.44,6.9,259.37,4.25,14.72,Ideonella sakaiensis
20.1,6.87,6.81,6.3,182.0,2.45,14.04,Bacillus cereus
27.51,7.47,9.5,7.56,760.28,0.97,13.58,Pseudomonas aeruginosa
21.16,7.62,9.45,6.97,313.46,2.25,9.78,Bacillus cereus
25.0,8.46,10.33,3.62,495.61,0.81,3.18,Alcaligenes eutrophus
22.62,7.82,6.58,6.29,291.79,2.6,14.73,Bacillus cereus
25.33,7.45,8.16,14.86,547.53,0.33,16.39,Pseudomonas aeruginosa
22.54,7.26,7.65,8.89,395.88,2.06,22.12,Bacillus cereus
20.73,7.92,8.33,8.18,442.28,2.38,7.59,Bacillus cereus
22.67,6.55,13.16,7.34,467.54,4.21,17.19,Ideonella sakaiensis
21.49,8.55,9.8,6.28,560.46,0.41,9.21,Alcaligenes eutrophus
27.53,6.67,9.8,2.93,534.48,1.3,32.14,Acinetobacter baumannii
24.49,7.45,9.71,4.51,408.97,2.44,28.77,Acinetobacter baumannii
23.38,6.65,6.03,5.59,345.19,2.49,19.71,Bacillus cereus
25.02,8.17,9.45,9.99,584.21,1.94,13.45,Pseudomonas aeruginosa
22.05,6.53,8.88,7.05,394.56,2.76,7.5,Bacillus cereus
20.61,7.19,6.36,3.81,442.12,2.36,15.38,Bacillus cereus
22.13,7.18,9.11,7.31,368.54,4.61,3.52,Ideonella sakaiensis
26.96,7.36,9.75,8.26,231.91,4.73,14.42,Ideonella sakaiensis
24.13,7.42,7.97,1.76,340.59,3.51,14.51,Pseudomonas putida
26.48,7.25,5.16,9.49,365.61,1.66,25.27,Pseudomonas aeruginosa
23.83,6.51,12.87,5.38,624.73,1.93,30.66,Acinetobacter baumannii
28.77,7.55,7.88,7.11,603.25,0.8,5.77,Alcaligenes eutrophus
24.95,7.31,9.33,4.58,671.21,1.19,20.77,Acinetobacter baumannii
26.49,6.59,13.66,5.68,404.07,4.38,2.3,Ideonella sakaiensis
26.09,6.59,11.59,4.54,472.64,1.82,25.79,Acinetobacter baumannii
27.52,7.09,9.08,4.05,476.22,1.29,24.97,Acinetobacter baumannii
21.19,6.91,11.22,3.23,267.56,4.09,6.7,Ideonella sakaiensis
26.62,8.94,6.88,7.24,302.07,0.74,17.93,Pseudomonas aeruginosa
21.54,7.31,9.21,8.72,489.64,2.8,23.19,Bacillus cereus
20.35,7.28,7.54,7.32,286.64,2.98,16.6,Bacillus cereus
26.47,7.74,8.11,12.72,746.46,1.23,26.61,Pseudomonas aeruginosa
23.77,7.37,10.62,5.62,437.86,2.56,16.81,Bacillus cereus
24.41,6.92,11.48,6.9,406.7,4.24,13.91,Ideonella sakaiensis
20.8,6.59,7.69,2.09,133.82,3.73,14.13,Pseudomonas putida
20.95,7.4,9.74,6.39,228.71,2.94,14.08,Bacillus cereus
26.92,7.72,5.53,8.23,630.42,1.72,10.99,Pseudomonas aeruginosa
27.47,6.68,13.95,6.95,848.9,0.01,38.94,Acinetobacter baumannii
23.42,7.32,7.48,11.19,654.83,0.66,10.73,Alcaligenes eutrophus
21.07,6.27,10.55,2.38,169.23,3.99,14.58,Pseudomonas putida
21.35,6.74,9.72,5.97,151.48,2.04,12.06,Bacillus cereus
22.38,8.03,6.74,9.79,473.14,0.44,0.02,Alcaligenes eutrophus
27.63,8.64,9.57,6.34,732.37,0.29,23.31,Pseudomonas aeruginosa
26.56,7.4,5.84,14.31,516.36,0.14,22.11,Pseudomonas aeruginosa
22.38,7.09,13.09,5.54,982.85,0.74,20.29,Acinetobacter baumannii
20.26,7.05,12.78,2.64,483.64,1.69,24.91,Acinetobacter baumannii
20.37,7.26,9.17,3.82,394.41,2.22,22.34,Bacillus cereus
25.63,7.71,5.85,5.79,382.2,0.42,25.55,Pseudomonas aeruginosa
20.18,6.73,11.22,2.3,366.28,3.81,14.41,Pseudomonas putida
22.6,6.9,8.15,3.66,167.04,3.81,12.91,Pseudomonas putida
25.32,7.71,7.64,6.18,771.82,1.73,18.66,Pseudomonas aeruginosa
28.1,8.1,9.7,3.99,626.56,0.66,6.2,Alcaligenes eutrophus
25.23,7.38,9.72,2.63,436.73,4.11,15.49,Ideonella sakaiensis
26.04,6.98,11.28,3.24,462.44,1.39,28.35,Acinetobacter baumannii
24.75,7.31,8.82,4.68,187.21,4.0,12.58,Pseudomonas putida
23.2,6.98,9.82,7.62,341.58,2.72,6.04,Bacillus cereus
20.74,7.92,8.56,2.71,257.34,0.92,7.04,Alcaligenes eutrophus
24.1,7.84,5.84,7.98,196.3,0.89,1.48,Alcaligenes eutrophus
24.33,6.66,12.83,7.92,886.95,1.91,17.52,Acinetobacter baumannii
21.84,6.97,8.56,5.28,872.75,1.21,35.28,Acinetobacter baumannii
22.87,6.5,10.14,4.26,303.28,3.7,14.23,Pseudomonas putida
28.37,8.5,7.32,14.08,579.38,0.12,22.78,Pseudomonas aeruginosa
25.2,6.66,12.08,7.65,783.99,2.25,19.28,Acinetobacter baumannii
20.51,7.89,8.51,6.43,438.53,2.34,8.27,Bacillus cereus
22.31,7.09,7.01,13.23,425.1,0.74,12.0,Alcaligenes eutrophus
28.02,7.99,10.15,1.45,484.99,0.14,0.01,Alcaligenes eutrophus
26.82,7.0,13.44,2.04,510.12,0.21,22.55,Acinetobacter baumannii
23.69,7.43,8.74,2.62,852.08,2.48,20.38,Acinetobacter baumannii
20.68,7.0,14.0,8.55,400.7,4.89,17.29,Ideonella sakaiensis
20.02,7.18,12.54,5.56,454.85,1.13,26.44,Acinetobacter baumannii
23.25,6.71,7.85,1.29,117.36,3.6,13.38,Pseudomonas putida
26.67,8.85,5.6,12.64,567.17,0.96,23.08,Pseudomonas aeruginosa
22.89,6.2,7.51,4.19,188.42,3.76,13.32,Pseudomonas putida
27.95,8.23,9.75,4.65,350.29,1.0,28.52,Pseudomonas aeruginosa
23.23,6.15,9.24,4.4,209.54,3.79,12.62,Pseudomonas putida
25.31,8.54,6.12,4.37,715.02,1.35,12.76,Pseudomonas aeruginosa
24.29,6.63,11.57,4.65,192.79,3.97,14.64,Pseudomonas putida
27.96,8.47,6.25,8.86,560.75,0.18,13.37,Pseudomonas aeruginosa
25.62,7.1,6.16,8.94,523.67,0.68,18.07,Pseudomonas aeruginosa
20.51,6.0,9.99,4.52,126.43,3.98,14.72,Pseudomonas putida
20.84,7.48,12.73,7.37,474.3,0.39,23.08,Acinetobacter baumannii
25.39,7.17,13.13,9.77,374.06,4.45,19.23,Ideonella sakaiensis
22.91,7.32,8.12,4.8,317.95,3.73,12.26,Pseudomonas putida
28.44,7.22,7.73,13.73,540.88,0.64,24.72,Pseudomonas aeruginosa
21.77,6.32,11.79,3.48,121.32,3.85,12.38,Pseudomonas putida
21.91,6.64,8.26,9.9,196.97,2.48,17.71,Bacillus cereus
20.73,6.82,8.23,6.62,925.49,0.02,27.37,Acinetobacter baumannii
21.69,7.15,6.78,6.52,362.53,2.91,18.46,Bacillus cereus
23.81,6.87,9.45,9.02,152.3,2.6,13.58,Bacillus cereus
26.03,6.93,12.36,3.33,268.68,4.99,5.74,Ideonella sakaiensis
21.09,6.79,10.75,4.63,237.12,3.86,14.01,Pseudomonas putida
26.45,6.79,10.87,3.63,995.07,0.99,21.74,Acinetobacter baumannii
24.87,6.12,9.2,1.61,171.84,3.66,12.81,Pseudomonas putida
23.32,7.28,7.26,5.23,154.0,2.74,23.07,Bacillus cereus
24.94,7.83,9.73,6.63,398.14,2.22,18.92,Bacillus cereus
27.34,7.22,10.95,5.75,565.56,2.33,16.37,Acinetobacter baumannii
23.53,7.04,11.92,2.12,357.48,4.47,11.76,Ideonella sakaiensis
23.99,6.7,9.46,3.04,464.06,0.28,30.83,Acinetobacter baumannii
29.08,8.06,6.86,8.3,304.57,0.88,29.84,Pseudomonas aeruginosa
24.67,7.04,10.04,2.23,332.16,3.83,13.35,Pseudomonas putida
26.97,8.14,10.7,12.63,138.84,0.87,10.99,Alcaligenes eutrophus
26.84,8.46,7.3,10.28,481.05,0.08,11.66,Alcaligenes eutrophus
21.21,6.73,7.49,8.13,213.02,2.22,12.79,Bacillus cereus
22.44,6.64,12.35,3.35,585.88,4.68,9.03,Ideonella sakaiensis
29.39,8.96,8.82,6.97,500.53,0.89,1.52,Alcaligenes eutrophus
29.51,7.82,9.33,9.96,405.53,1.78,29.67,Pseudomonas aeruginosa
22.52,7.19,13.63,7.06,467.45,4.62,1.94,Ideonella sakaiensis
22.68,6.57,10.61,6.41,162.0,2.01,9.08,Bacillus cereus
24.43,6.85,13.29,2.18,954.0,0.12,31.64,Acinetobacter baumannii
24.3,6.72,9.24,3.75,235.98,3.63,13.01,Pseudomonas putida
26.46,7.0,12.16,3.3,928.98,1.79,25.83,Acinetobacter baumannii
23.63,7.28,9.34,4.59,216.39,3.88,13.29,Pseudomonas putida
23.99,7.47,8.55,3.25,377.06,2.75,9.61,Bacillus cereus
26.9,8.36,6.97,12.84,325.95,0.28,23.29,Pseudomonas aeruginosa
26.43,7.31,9.48,9.36,258.87,4.47,0.85,Ideonella sakaiensis
25.7,9.0,9.34,4.49,307.72,1.4,10.26,Pseudomonas aeruginosa
24.82,6.76,9.11,3.66,241.15,3.64,12.71,Pseudomonas putida
27.57,6.89,8.27,3.23,265.75,4.44,18.2,Ideonella sakaiensis
25.47,7.2,10.02,6.93,337.25,4.76,5.46,Ideonella sakaiensis
24.92,7.33,11.29,7.67,938.57,1.8,15.45,Acinetobacter baumannii
22.12,6.65,11.63,3.79,371.84,3.59,13.46,Pseudomonas putida
26.11,7.74,6.25,11.72,609.46,1.25,17.98,Pseudomonas aeruginosa
21.5,7.1,7.93,9.66,425.15,2.34,17.69,Bacillus cereus
20.49,6.64,10.36,6.0,239.43,4.89,14.68,Ideonella sakaiensis
22.93,8.9,5.95,11.06,378.71,0.21,13.87,Alcaligenes eutrophus
20.81,7.14,10.15,2.94,232.08,3.78,14.84,Pseudomonas putida
24.43,7.35,8.55,2.21,333.3,3.74,14.95,Pseudomonas putida
22.65,7.18,13.73,6.86,330.99,4.63,10.72,Ideonella sakaiensis
26.3,6.51,9.66,5.8,841.93,0.37,17.18,Acinetobacter baumannii
22.25,6.61,13.92,3.36,397.79,4.64,1.19,Ideonella sakaiensis
23.76,7.05,10.32,6.71,667.13,1.72,21.19,Acinetobacter baumannii
28.12,7.42,9.21,8.28,470.09,4.47,17.62,Ideonella sakaiensis
28.45,7.83,9.62,4.6,331.0,0.29,13.92,Pseudomonas aeruginosa
23.91,6.61,11.07,2.42,243.92,4.47,14.74,Ideonella sakaiensis
22.33,7.03,7.32,2.23,359.3,3.94,13.2,Pseudomonas putida
22.2,6.57,7.75,1.64,253.69,3.74,13.59,Pseudomonas putida
22.1,7.39,9.54,5.47,513.61,1.96,31.34,Acinetobacter baumannii
20.94,7.81,9.45,7.79,439.27,2.84,19.96,Bacillus cereus
23.36,7.25,10.03,4.32,215.06,4.0,13.52,Pseudomonas putida
23.86,7.26,9.78,5.57,602.74,0.56,26.71,Acinetobacter baumannii
22.52,7.09,12.58,3.11,850.11,1.57,30.17,Acinetobacter baumannii
28.02,7.77,5.53,13.34,764.14,0.57,29.87,Pseudomonas aeruginosa
29.58,8.5,6.64,4.44,783.81,0.69,19.81,Pseudomonas aeruginosa
21.9,6.64,10.63,2.88,794.47,1.52,23.29,Acinetobacter baumannii
24.4,7.14,9.15,8.32,238.04,2.07,24.3,Bacillus cereus
26.53,7.51,5.92,8.37,584.84,0.18,8.57,Alcaligenes eutrophus
22.56,7.03,11.34,2.28,295.89,4.52,0.27,Ideonella sakaiensis
20.04,7.29,8.9,2.18,452.85,2.39,16.93,Acinetobacter baumannii
23.45,7.14,8.0,2.69,409.37,4.4,2.33,Ideonella sakaiensis
23.93,7.32,12.65,2.73,435.45,4.45,19.19,Ideonella sakaiensis
21.83,7.77,9.2,7.91,432.41,2.75,12.38,Bacillus cereus
28.19,8.06,7.24,7.03,668.4,1.53,19.2,Pseudomonas aeruginosa
21.52,7.89,8.66,2.79,639.92,0.14,9.52,Alcaligenes eutrophus
29.1,8.06,8.0,9.66,632.37,1.15,27.84,Pseudomonas aeruginosa
26.31,6.57,13.48,7.34,575.88,2.47,34.08,Acinetobacter baumannii
28.9,8.72,6.23,4.71,422.31,1.39,24.59,Pseudomonas aeruginosa
24.36,7.29,9.29,3.24,421.63,0.37,20.96,Acinetobacter baumannii
21.73,7.25,11.6,4.79,504.85,1.31,33.97,Acinetobacter baumannii
20.14,7.43,11.46,4.01,153.3,3.86,12.56,Pseudomonas putida
28.01,7.96,12.0,1.19,111.97,0.74,2.33,Alcaligenes eutrophus
22.04,7.19,9.56,7.82,429.47,4.65,8.6,Ideonella sakaiensis
20.03,8.51,11.87,6.55,226.43,0.74,5.7,Alcaligenes eutrophus
23.65,7.18,8.59,4.4,423.7,2.37,22.81,Bacillus cereus
22.07,8.17,8.08,1.38,118.02,0.95,2.6,Alcaligenes eutrophus
23.41,7.14,10.39,5.06,247.75,2.3,13.35,Bacillus cereus
20.68,7.39,11.94,9.16,349.18,4.09,2.24,Ideonella sakaiensis
26.0,8.65,7.94,12.97,362.07,1.94,15.89,Pseudomonas aeruginosa
20.03,7.1,9.76,5.57,225.59,0.65,5.28,Alcaligenes eutrophus
